,Date,UTX,Mkt.RF,SMB,HML,fit,lwr,upr,correct,fitted,,,
117,6/17/2005,1.129998821,0.39,-0.58,0.24,0.499034112,-1.342813011,2.340881235,TRUE,0.499034112,TRUE,,
118,6/20/2005,0.296925236,-0.09,-0.31,0.09,-0.022896904,-1.853319204,1.807525396,FALSE,-0.022896904,TRUE,,
119,6/21/2005,-0.759787229,-0.2,0.15,-0.24,-0.286423403,-2.118907705,1.546060899,TRUE,-0.286423403,TRUE,,
120,6/22/2005,0.105718431,0.09,0.25,-0.02,0.030989008,-1.798775359,1.860753375,TRUE,0.030989008,FALSE,,
121,6/23/2005,-1.134260727,-1,-0.42,0.24,-0.795789618,-2.632781385,1.041202149,TRUE,-0.795789618,FALSE,,
122,6/24/2005,-0.478934036,-0.67,0.01,0.09,-0.598447385,-2.432627626,1.235732855,TRUE,-0.598447385,TRUE,,
123,6/27/2005,-1.172231146,-0.05,-0.13,0.62,0.147279597,-1.691078319,1.985637512,FALSE,0.147279597,TRUE,,
124,6/28/2005,2.861010588,0.96,1.04,-0.64,0.531904025,-1.319589068,2.383397118,TRUE,0.531904025,TRUE,,
125,6/29/2005,-0.977312631,-0.05,0.34,0.08,-0.079784928,-1.911529657,1.751959801,TRUE,-0.079784928,FALSE,,
126,6/30/2005,-2.251100282,-0.6,0.22,0.29,-0.503748358,-2.341699327,1.33420261,TRUE,-0.503748358,TRUE,,
127,7/1/2005,0.047624368,0.36,0.09,0.45,0.441119312,-1.394078575,2.276317199,TRUE,0.441119312,FALSE,,
128,7/5/2005,0.503260752,0.84,0.53,-0.14,0.642707382,-1.191524017,2.476938781,TRUE,0.642707382,TRUE,,
129,7/6/2005,-2.149729993,-0.62,0.13,-0.1,-0.626247522,-2.462079291,1.209584246,TRUE,-0.626247522,FALSE,,
130,7/7/2005,0.350830473,0.26,-0.12,-0.16,0.196247529,-1.634862332,2.02735739,TRUE,0.196247529,FALSE,,
131,7/8/2005,1.565036377,1.18,0.76,-0.59,0.787269207,-1.059080622,2.633619035,TRUE,0.787269207,TRUE,,
132,7/11/2005,0.462215471,0.71,0.74,-0.11,0.503427841,-1.332895403,2.339751085,TRUE,0.503427841,TRUE,,
133,7/12/2005,-1.20178203,0.25,-0.29,-0.04,0.246680199,-1.585717744,2.079078141,FALSE,0.246680199,FALSE,,
134,7/13/2005,0.52515438,-0.03,-0.38,0.04,0.026816428,-1.804780775,1.858413631,TRUE,0.026816428,TRUE,,
135,7/14/2005,0.304957476,0.03,-0.62,-0.59,-0.073383702,-1.92340101,1.776633607,FALSE,-0.073383702,TRUE,,
136,7/15/2005,0.165848086,0.09,0,-0.12,0.035873775,-1.793527934,1.865275485,TRUE,0.035873775,FALSE,,
137,7/18/2005,-0.66566183,-0.49,-0.16,0.1,-0.406991581,-2.237869042,1.42388588,TRUE,-0.406991581,FALSE,,
138,7/19/2005,0.917687242,0.79,0.85,-0.09,0.567335538,-1.27137562,2.406046697,TRUE,0.567335538,FALSE,,
139,7/20/2005,0.165043422,0.55,0.75,-0.28,0.304676678,-1.533122413,2.142475769,TRUE,0.304676678,TRUE,,
140,7/21/2005,-0.287536486,-0.69,-0.59,0.1,-0.530212088,-2.364886274,1.304462098,TRUE,-0.530212088,FALSE,,
